City,Neighborhood,Latitude,Longitude
Vancouver,Kitsilano,49.2643,-123.168
Vancouver,Mount Pleasant,49.2612,-123.106
Vancouver,West End,49.2843,-123.1235
Vancouver,Downtown,49.2827,-123.1207
Vancouver,East Vancouver,49.2488,-123.0654
Surrey,Guildford,49.197,-122.8038
Surrey,Whalley,49.1913,-122.8461
Surrey,Fleetwood,49.1706,-122.7682
Surrey,Cloverdale,49.1032,-122.7322
Surrey,South Surrey,49.0434,-122.8026
Burnaby,Metrotown,49.2258,-123.0032
Burnaby,Brentwood,49.2765,-123.0076
Burnaby,Deer Lake,49.2343,-122.9736
Burnaby,Burnaby Heights,49.2816,-123.0138
Burnaby,Edmonds,49.2192,-122.9331
Richmond,Steveston,49.1242,-123.1663
Richmond,Broadmoor,49.1414,-123.1338
Richmond,Bridgeport,49.195,-123.1014
Richmond,Cambie,49.1823,-123.1162
Richmond,Seafair,49.1514,-123.1788
Coquitlam,Westwood Plateau,49.3054,-122.7939
Coquitlam,Burke Mountain,49.2935,-122.7229
Coquitlam,Coquitlam Centre,49.2848,-122.8051
Coquitlam,Maillardville,49.238,-122.8565
Delta,Ladner,49.0909,-123.0867
Delta,North Delta,49.1433,-122.8858
Delta,Tsawwassen,49.012,-123.0824
New Westminster,Uptown,49.2065,-122.929
New Westminster,Downtown,49.2032,-122.911
New Westminster,Queensborough,49.1869,-122.9245
New Westminster,Glenbrook North,49.214,-122.925
Port Coquitlam,Mary Hill,49.2634,-122.7543
Port Coquitlam,Glenwood,49.2497,-122.7798
Port Coquitlam,Riverwood,49.2653,-122.7683
Port Coquitlam,Central Port Coquitlam,49.2605,-122.7794
North Vancouver,Upper Lonsdale,49.3389,-123.0786
North Vancouver,Lower Lonsdale,49.3238,-123.0734
North Vancouver,Lynn Valley,49.3374,-123.0341
North Vancouver,Central Lonsdale,49.321,-123.0754
West Vancouver,Ambleside,49.3281,-123.1512
West Vancouver,Dundarave,49.3333,-123.1722
West Vancouver,Horseshoe Bay,49.374,-123.2714
West Vancouver,British Properties,49.3425,-123.1479
West Vancouver,Caulfeild,49.3471,-123.2489
